"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/10 8:44:41 PM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Non ","","8","Oui","Déprime/baisse de morale;Baisse de productivité","9","5","2","2","0","5","3","1 an (Pas avant 2022)","Rarement","Systématiquement","Souvent","Rarement","Jamais","Rarement","Souvent","Systématiquement","Systématiquement","Systématiquement","10","10","Non","Oui","Non","2","Oui","Oui","10","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/10 8:58:30 PM UTC+2","Femme","15-19 ans","Baccalauréat","Oui","3","10","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","9","7","5","5","6","4","8","Elle va menacer pendant longtemps","Ça dépend des situations","Systématiquement","Systématiquement","Rarement","Systématiquement","Souvent","Souvent","Rarement","Jamais","Souvent","1","5","Non","Non","Non","6","Oui","Non","5","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/10 9:42:33 PM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Décrochage scolaire;Baisse de productivité","6","5","5","6","4","4","6","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Souvent","Jamais","Jamais","Souvent","Ça dépend des situations","3","6","Non","Non","Non","8","Oui","Oui","5","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance"
"2021/03/10 10:49:33 PM UTC+2","Homme","20-29 ans","Baccalauréat","Non, pas à ma connaissance ","","10","Oui","Décrochage scolaire;Baisse de productivité","10","1","1","2","5","3","5","1 an (Pas avant 2022)","Ça dépend des situations","Souvent","Systématiquement","Jamais","Rarement","Jamais","Rarement","Jamais","Souvent","Souvent","10","9","Non","Oui","Oui","10","Oui","Non","10","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Aucune confiance","Faible confiance","Confiance absolue","Faible confiance"
"2021/03/11 12:50:39 AM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Métier d’infirmière. Positive au covid ainsi que ma famille","3","6","Oui","Anxiété;Stress;Déprime/baisse de morale","4","6","2","2","0","3","6","2 ans (Pas avant 2023)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Systématiquement","8","8","Oui","Oui","Oui","1","Oui","Oui","0","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/11 10:42:14 AM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Non","","3","Oui","Stress;Baisse de productivité","3","2","3","2","3","5","5","3 mois (Juin 2021)","Ça dépend des situations","Souvent","Systématiquement","Ça dépend des situations","Ça dépend des situations","Systématiquement","Ça dépend des situations","Rarement","Systématiquement","Systématiquement","0","0","Non","Oui","Non","10","Non","Oui","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/11 11:24:29 AM UTC+2","Femme","15-19 ans","Licence, Licence professionnelle","Oui, en avril 2020","2","2","Oui","Stress;Baisse de productivité","3","5","3","4","6","8","7","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","4","3","Oui","Oui","Non","8","Oui","Oui","3","Faible confiance","Faible confiance","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/11 11:41:09 AM UTC+2","Homme","20-29 ans","Baccalauréat","Oui","1","1","Non","","4","0","8","3","5","5","4","6 mois (Septembre 2021)","Souvent","Souvent","Systématiquement","Rarement","Rarement","Rarement","Jamais","Jamais","Rarement","Souvent","0","10","Non","Non","Non","2","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/15 1:02:28 AM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Oui","4","1","Non","","7","3","6","5","8","2","8","9 mois (Décembre 2021)","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Rarement","Systématiquement","Souvent","Systématiquement","Systématiquement","Souvent","1","1","Oui","Oui","Non","9","Oui","Oui","0","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Aucune confiance","Confiance absolue","Faible confiance","Aucune confiance","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/15 1:03:52 AM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Ma famille proche n’a pas été touché par le Covid contrairement à de nombreux amis qui malheureusement l’ont attrapé ","2","7","Oui","Baisse de productivité","5","5","5","5","5","5","5","9 mois (Décembre 2021)","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Souvent","Rarement","Souvent","3","8","Non","Non","Oui","4","Oui","Oui","6","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance absolue","Faible confiance","Faible confiance","Confiance absolue","Faible confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/15 2:58:48 PM UTC+2","Homme","40-55 ans","CAP, BEP","Oui une personne de ma famille l’a contracté ","3","8","Oui","Baisse de productivité","9","7","4","4","8","8","7","6 mois (Septembre 2021)","Rarement","Systématiquement","Systématiquement","Souvent","Rarement","Souvent","Rarement","Ça dépend des situations","Systématiquement","Souvent","9","9","Non","Oui","Non","6","Oui","Oui","3","Faible confiance","Confiance modérée","Confiance absolue","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 3:06:26 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui je l'ai attrapé ainsi que ma belle mère ","3","8","Oui","Anxiété;Stress;Déprime/baisse de morale;Baisse de productivité","7","5","4","4","7","5","7","1 an (Pas avant 2022)","Ça dépend des situations","Rarement","Systématiquement","Souvent","Rarement","Souvent","Rarement","Ça dépend des situations","Souvent","Ça dépend des situations","4","7","Non","Oui","Non","8","Oui","Oui","3","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 3:09:31 PM UTC+2","Femme","15-19 ans","Licence, Licence professionnelle","Oui","1","1","Non","","5","2","9","2","2","3","9","2 ans (Pas avant 2023)","Ça dépend des situations","Systématiquement","Souvent","Ça dépend des situations","Ça dépend des situations","Systématiquement","Systématiquement","Systématiquement","Systématiquement","Souvent","4","5","Non","Non","Non","5","Oui","Oui","1","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/15 3:10:12 PM UTC+2","Homme","40-55 ans","Baccalauréat","Oui moi et ma femme sirtout pertes d'odorat ","2","10","Non","Stress","6","2","2","2","8","4","5","Elle va menacer pendant longtemps","Rarement","Systématiquement","Systématiquement","Rarement","Souvent","Rarement","Souvent","Jamais","Souvent","Souvent","0","10","Oui","Non","Non","10","Oui","Oui","1","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Faible confiance"
"2021/03/15 3:10:46 PM UTC+2","Femme","40-55 ans","DEUG, BTS, DUT, DEUST","Non","","8","Oui","Stress","7","5","6","7","7","7","7","1 an (Pas avant 2022)","Ça dépend des situations","Systématiquement","Systématiquement","Souvent","Ça dépend des situations","Systématiquement","Ça dépend des situations","Ça dépend des situations","Systématiquement","Systématiquement","2","2","Non","Non","Non","8","Oui","Non","4","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée"
"2021/03/15 3:11:21 PM UTC+2","Homme","20-29 ans","Master 2","Non ","","7","Oui","Baisse de productivité","8","6","4","8","7","6","9","6 mois (Septembre 2021)","Souvent","Souvent","Rarement","Ça dépend des situations","Rarement","Souvent","Souvent","Systématiquement","Systématiquement","Systématiquement","8","10","Oui","Oui","Oui","3","Oui","Non","8","Confiance modérée","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/15 3:11:24 PM UTC+2","Homme","40-55 ans","Licence, Licence professionnelle","Oui l’année dernière ","2","9","Oui","Stress","9","9","7","9","10","9","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Souvent","Souvent","Systématiquement","Souvent","Rarement","Rarement","Systématiquement","Systématiquement","10","10","Oui","Oui","Non","2","Oui","Oui","10","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance modérée","Confiance absolue"
"2021/03/15 3:11:40 PM UTC+2","Femme","40-55 ans","CAP, BEP","Oui","5","9","Oui","Stress;Déprime/baisse de morale","9","6","6","6","8","9","9","1 an (Pas avant 2022)","Systématiquement","Systématiquement","Systématiquement","Ça dépend des situations","Systématiquement","Systématiquement","Ça dépend des situations","Ça dépend des situations","Systématiquement","Systématiquement","9","9","Non","Oui","Non","7","Oui","Non","8","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Confiance absolue","Confiance absolue","Confiance absolue","Confiance absolue","Confiance modérée","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance"
"2021/03/15 3:13:36 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Oui","3","5","Non","","8","0","2","0","1","3","2","6 mois (Septembre 2021)","Rarement","Systématiquement","Souvent","Rarement","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","0","0","Non","Non","Non","10","Non","Non","1","Aucune confiance","Aucune confiance","Confiance modérée","Confiance absolue","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/15 3:13:37 PM UTC+2","Homme","15-19 ans","DEUG, BTS, DUT, DEUST","Je pense que oui ","3","3","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","4","5","8","3","4","5","1","1 an (Pas avant 2022)","Ça dépend des situations","Souvent","Souvent","Rarement","Jamais","Ça dépend des situations","Ça dépend des situations","Ça dépend des situations","Rarement","Ça dépend des situations","0","0","Non","Non","Non","10","Oui","Non","0","Aucune confiance","Aucune confiance","Confiance absolue","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Confiance modérée"
"2021/03/15 3:20:44 PM UTC+2","Femme","20-29 ans","DEUG, BTS, DUT, DEUST","Oui, moi meme.","3","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","0","0","1","0","2","Elle va menacer pendant longtemps","Souvent","Souvent","Systématiquement","Jamais","Jamais","Jamais","Rarement","Jamais","Jamais","Rarement","0","0","Non","Non","Non","10","Oui","Oui","0","Aucune confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance"
"2021/03/15 3:22:24 PM UTC+2","Femme","20-29 ans","Master 2","Non","","9","Oui","Déprime/baisse de morale","9","3","7","3","4","0","7","1 an (Pas avant 2022)","Souvent","Systématiquement","Systématiquement","Souvent","Jamais","Rarement","Souvent","Rarement","Jamais","Systématiquement","0","0","Non","Non","Non","8","Oui","Oui","0","Aucune confiance","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance absolue"
"2021/03/15 3:22:31 PM UTC+2","Femme","20-29 ans","Master 2","Oui mon père ","4","3","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité;Solitude profonde et manque de sens à ma vie","7","6","4","8","5","2","9","2 ans (Pas avant 2023)","Souvent","Souvent","Systématiquement","Souvent","Rarement","Rarement","Rarement","Jamais","Rarement","Rarement","0","0","Non","Non","Non","10","Oui","Oui","0","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/15 3:23:16 PM UTC+2","Femme","20-29 ans","Master 2","Oui mon père ","4","3","Oui","Anxiété;Déprime/baisse de morale;Baisse de productivité;Solitude profonde et manque de sens à ma vie","7","6","4","8","5","2","9","2 ans (Pas avant 2023)","Souvent","Souvent","Systématiquement","Souvent","Rarement","Rarement","Rarement","Jamais","Rarement","Rarement","0","0","Non","Non","Non","10","Oui","Oui","0","Faible confiance","Aucune confiance","Confiance modérée","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Confiance absolue","Aucune confiance","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance"
